COUNTRY;ISO3;Human Development Inde;Multidimensional Poverty Inde;Development & Deprivation;Gender Inequality Inde;Gini Inde;Inequality;Total public Aid (M US$);Public Aid per capita (US$);Public Aid per capita (US$);Net ODA received (% of GNI);Aid Dependency Inde;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted people (total population);Total/Pop;Total Uprooted people (percentage of the total population);Uprooted people;Estimated number of people living with HIV - Adult (>15) rate;Tuberculosis prevalence;Malaria mortality rate;Health Conditions;Child Mortality;Malnutrition in children under 5;Children Under 5;Total affected by Natural Disasters last 3 years (1,000 people);Natural Disasters % of total pop;Recent Shocks;Food Availability Score;Food Utilization Score;Domestic Food Price Level Inde;Domestic Food Price Volatility Inde;Food Acces Score;Food Security;Other Vulnerable Groups;INFORM Vulnerable Groups
France;FRA;0,8;;0,8;1,4;2;1,7;-0,512552;-0,007661911;0;;0;0,8;321,119;8,4;0,004800264;4,7;6,6;0,8;0,1;;0,5;0,3;;0,3;12,184;0,000182133;0;1,2;0;0,8;2,4;1,1;0,8;0,4;4,2
Gabon;GAB;3,9;0,5;2,4;7,2;4,3;5,8;108,5;54,80390305;1,1;0,2;0,7;2,8;0,96;0;0,000484901;2,7;1,4;7,2;8,8;5,6;7,2;3,6;1,4;2,5;0;0;0;3,2;0,7;4,7;10;5,8;3,2;3,7;2,6
Gambia;GMB;7,7;5,3;6,7;8,5;5,6;7,1;48,014267;23,55371275;0,5;6,5;3,5;6;8,006;3;0,003927396;4,5;3,8;3,4;3,2;7;4,5;5;3,6;4,3;0;0;0;4,3;2;6,9;1,4;5,8;4;3,4;3,6
Georgia;GEO;2,8;0;1,5;4,8;3,8;4,3;382,387074;102,8115705;2,1;2,3;2,2;2,4;209,932;7,7;0,056443955;8,6;8,2;1;1,7;0;0,9;0,8;0,2;0,5;2,58;0,000693679;0,1;4,3;0,7;;;;2,5;1;5,7
Germany;DEU;0,4;;0,4;0,9;1,3;1,1;2,764395;0,033439849;0;;0;0,5;864,686;9,8;0,010459782;5,7;7,8;;0,1;;0,1;0,3;0,2;0,3;0,6;7,26E-06;0;1,9;0;0,6;2,8;1;1;0,4;5,2
Ghana;GHA;5,7;2,2;4,2;7,3;4,4;5,9;1249,057997;44,28227184;0,9;2,1;1,5;4;12,013;3,6;0,000425891;2,6;3,1;3,2;2,8;5,6;3,9;4,5;2,4;3,5;1001,47425;0,0355048;3,6;2,4;0,9;4,9;9,2;5,8;3;3,5;3,3
Greece;GRC;1,3;;1,3;1,6;2,9;2,3;1056,058567;98,26780652;2;;2;1,7;41,977;5,4;0,003906022;4,5;5;0,6;0,1;;0,4;0,3;;0,3;6,975;0,000649034;0,1;2;0;1,7;5,6;2,5;1,5;0,6;3,1
Grenada;GRD;3;;3;;;;8,88;82,74551096;1,7;0,6;1,2;2,4;0,001;0;9,32E-06;0;0;;0,1;;0,1;1,2;;1,2;0;0;0;6,7;6,8;2,6;;2,6;5,4;2;1
Guatemala;GTM;4,8;;4,8;6,6;5,9;6,3;475,793373;28,69255314;0,6;0,3;0,5;4,1;256,872;8;0,015490576;6,3;7,2;1;0,4;0;0,5;2,2;2,8;2,5;62,86175;0,003790856;0,4;4,7;3,5;6,8;2,8;6;4,7;2,2;5,2
Guinea;GIN;8,2;8,3;8,3;;2,2;2,2;432,516506;34,89183267;0,7;4,9;2,8;5,4;5,162;2,4;0,000416427;2,6;2,5;3;3,2;8,8;5;6,8;3,6;5,2;10,939;0,000882467;0,1;4,4;4,2;9,9;3,7;8,7;5,8;4,3;3,5
